Submission id,prolificid,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64ad3f66806fd31ecef53b99,60bfb7216f6da5705b11ca15,APPROVED,2023-07-11T11:46:28.917000Z,2023-07-11T12:48:05.236000Z,2023-07-13T17:17:50.842000,2023-07-11T12:48:05.782873Z,3697,NOCODE,344,"English, Afrikaans",23,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
64ad3fa8aaf8ef8c3f271369,5ff41506eed16daa2c6c6ebc,APPROVED,2023-07-11T11:41:18.471000Z,2023-07-11T12:18:03.918000Z,2023-07-13T17:17:50.963000,2023-07-11T12:18:04.417810Z,2206,NOCODE,310,"Afrikaans, English",33,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
64ad3fccedf5f3a4347ed8cd,5e89e52ff4f8e868671225cf,APPROVED,2023-07-11T11:41:03.614000Z,2023-07-11T12:09:08.742000Z,2023-07-13T17:16:45.456000,2023-07-11T12:09:09.233215Z,1686,NOCODE,93,English,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad3fec5957c4361f5fae6a,5e9fd839311b8018f88c99eb,APPROVED,2023-07-11T11:41:32.132000Z,2023-07-11T12:47:35.614000Z,2023-07-13T17:17:51.078000,2023-07-11T12:47:36.161043Z,3964,NOCODE,377,English,49,Female,Black,Zambia,South Africa,Zambia,English,No,Full-Time
64ad401db7028ff4d512226d,5d53bf0c2ebe880001a473d2,APPROVED,2023-07-11T11:42:26.201000Z,2023-07-11T12:06:29.539000Z,2023-07-13T17:17:51.188000,2023-07-11T12:06:30.007045Z,1444,NOCODE,600,English,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
64ad4026fe00d2fcca127826,5f59aa6249efc02078394a60,APPROVED,2023-07-11T11:43:26.176000Z,2023-07-11T12:22:16.525000Z,2023-07-13T17:17:51.301000,2023-07-11T12:22:17.022513Z,2331,NOCODE,74,"English, Japanese",26,Female,White,United States,Netherlands,Australia,English,No,Unemployed (and job seeking)
64ad4047b79f561cb88324fa,5bef322e52de3c0001c508e5,APPROVED,2023-07-11T11:43:23.503000Z,2023-07-11T12:05:32.799000Z,2023-07-13T17:17:51.414000,2023-07-11T12:05:33.696537Z,1330,NOCODE,136,English,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64ad406ee66bf12943534849,605264d8d281cded92f08d9a,APPROVED,2023-07-11T11:45:07.230000Z,2023-07-11T12:26:35.936000Z,2023-07-13T17:17:51.524000,2023-07-11T12:26:36.353184Z,2489,NOCODE,191,English,20,Male,White,South Africa,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64ad4087a29655f7cff53b89,6095b18d2259069adefeb80a,APPROVED,2023-07-11T11:44:57.186000Z,2023-07-11T12:30:02.443000Z,2023-07-13T17:17:51.639000,2023-07-11T12:30:02.996063Z,2706,NOCODE,159,English,20,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
64ad40a47809a6a3339e64a3,5ea3f7021782d23892358af1,APPROVED,2023-07-11T11:44:40.794000Z,2023-07-11T12:21:35.198000Z,2023-07-13T17:17:51.756000,2023-07-11T12:21:35.653779Z,2215,NOCODE,294,English,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
64ad40c447bb36c03ea053d7,60670ac0fc7e169231369ab1,APPROVED,2023-07-11T11:45:08.960000Z,2023-07-11T12:28:26.392000Z,2023-07-13T17:17:51.878000,2023-07-11T12:28:26.903123Z,2598,NOCODE,473,English,22,Male,Black,Zimbabwe,South Africa,South Africa,English,No,Full-Time
64ad40d3f4578d18e4b1741e,609e9f35893ee0b976a584c5,APPROVED,2023-07-11T11:45:29.417000Z,2023-07-11T12:14:32.514000Z,2023-07-13T17:17:52.007000,2023-07-11T12:14:33.031272Z,1744,NOCODE,42,English,29,Female,White,United States,United Kingdom,United States,English,DATA_EXPIRED,DATA_EXPIRED
64ad410909db4be0f459960a,5f805dd87a1fdb064708f313,APPROVED,2023-07-11T11:46:17.518000Z,2023-07-11T13:13:15.076000Z,2023-07-13T17:17:52.115000,2023-07-11T13:13:15.728144Z,5218,NOCODE,359,"English, Hungarian",25,Male,White,Hungary,Hungary,Hungary,English,No,Full-Time
64ad4112d4ac43b8e23e7c41,5f39a493da1ce1553328ebd9,APPROVED,2023-07-11T11:47:43.704000Z,2023-07-11T12:33:54.379000Z,2023-07-13T17:17:52.228000,2023-07-11T12:33:54.868929Z,2771,NOCODE,483,"Afrikaans, English",28,Female,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time
64ad411fd8cbbdd23ec2e1cf,5e4be1707b764a02a384f7b8,APPROVED,2023-07-11T11:46:43.842000Z,2023-07-11T12:16:04.652000Z,2023-07-13T17:17:52.340000,2023-07-11T12:16:09.741584Z,1761,NOCODE,635,English,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64ad41267f82b973d825f964,5f45f6591d2bed2170be6c38,APPROVED,2023-07-11T11:47:34.474000Z,2023-07-11T12:42:08.589000Z,2023-07-13T17:17:52.456000,2023-07-11T12:42:09.054055Z,3275,NOCODE,336,English,28,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
64ad4128c1c14cdf3ff1f8fe,5ed9079cca520542a8bc133f,APPROVED,2023-07-11T11:47:07.196000Z,2023-07-11T12:11:16.246000Z,2023-07-13T17:17:52.595000,2023-07-11T12:11:17.242247Z,1450,NOCODE,18,English,21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
64ad4129718b6dd8bfc1b4c1,5fff1e3163c21663a9a74f71,APPROVED,2023-07-11T11:47:02.817000Z,2023-07-11T12:20:15.978000Z,2023-07-13T17:17:52.743000,2023-07-11T12:20:16.457776Z,1994,NOCODE,394,"French, English",28,Female,White,Bahrain,United Kingdom,United Kingdom,English,Yes,Full-Time
64ad41623c4918117f86b629,5e2325f1cf46ff5cba7b92f2,APPROVED,2023-07-11T11:47:57.529000Z,2023-07-11T12:29:23.005000Z,2023-07-13T17:17:52.894000,2023-07-11T12:29:23.505663Z,2486,NOCODE,197,English,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad417da69e5c385b7f510f,60650e72f3359295eb889c0f,APPROVED,2023-07-11T11:49:02.055000Z,2023-07-11T12:12:07.439000Z,2023-07-13T17:17:53.044000,2023-07-11T12:12:07.875367Z,1386,NOCODE,224,English,21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64ad419adb0507d85a5739b8,646cfc663c6a71e2ab992704,APPROVED,2023-07-11T11:48:50.748000Z,2023-07-11T12:24:14.447000Z,2023-07-13T17:17:53.161000,2023-07-11T12:24:14.957392Z,2124,NOCODE,170,English,66,Male,Black,Nigeria,United States,Nigeria,English,DATA_EXPIRED,DATA_EXPIRED
64ad41b0467f7576921d1559,6000105006ea511c281954a8,APPROVED,2023-07-11T11:53:15.175000Z,2023-07-11T12:28:17.515000Z,2023-07-13T17:17:53.270000,2023-07-11T12:28:18.155979Z,2103,NOCODE,294,English,33,Female,Black,South Africa,South Africa,South Africa,English,No,Part-Time
64ad41c8467f7576921d155a,5fc67a7ad4991f2ecfa65f42,APPROVED,2023-07-11T11:49:31.362000Z,2023-07-11T12:12:38.258000Z,2023-07-13T17:17:53.381000,2023-07-11T12:12:38.879070Z,1387,64ad41c8467f7576921d155a,608,English,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
64ad41cbc7fde5e83194d8c7,5a67979f31b87a0001c73bc5,APPROVED,2023-07-11T11:50:08.957000Z,2023-07-11T12:19:29.841000Z,2023-07-13T17:17:53.491000,2023-07-11T12:19:30.401323Z,1761,NOCODE,809,"French, English",33,Female,White,Ireland,Ireland,Ireland,English,No,Full-Time
64ad41d552589f0cb47f50eb,5fcbb598516103930bd22135,APPROVED,2023-07-11T11:49:41.954000Z,2023-07-11T12:42:28.957000Z,2023-07-13T17:17:53.607000,2023-07-11T12:42:29.522491Z,3168,not given,269,"English, Tamil, Malayalam, Gujarati, Hindi",50,Female,Asian,India,South Africa,India,English,Yes,DATA_EXPIRED
64ad41e82c694d5329169728,5c37a0e7bef9a20001e3a497,APPROVED,2023-07-11T11:50:03.659000Z,2023-07-11T12:14:11.533000Z,2023-07-13T17:17:53.726000,2023-07-11T12:14:12.072091Z,1448,NOCODE,658,English,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
64ad41e92e65fee57c4ce503,605986be77c362e33eac85c2,APPROVED,2023-07-11T11:52:40.609000Z,2023-07-11T13:01:39.729000Z,2023-07-13T17:17:53.840000,2023-07-11T13:01:43.700315Z,4140,NOCODE,489,English,38,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
64ad41f2847e0afe9525f921,5f02ca7d869ce215033289be,APPROVED,2023-07-11T11:50:14.508000Z,2023-07-11T12:16:33.006000Z,2023-07-13T17:17:53.957000,2023-07-11T12:17:02.526462Z,1579,NOCODE,858,English,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad41f41c4c23ad54599614,5cd8996bdf739100011b1f3e,APPROVED,2023-07-11T11:50:32.275000Z,2023-07-11T12:21:11.477000Z,2023-07-13T17:17:54.068000,2023-07-11T12:21:11.978203Z,1840,NOCODE,646,English,41,Female,White,Canada,Canada,Canada,English,DATA_EXPIRED,DATA_EXPIRED
64ad41f5847e0afe9525f923,5f05ef4bd552bc0009e5566c,APPROVED,2023-07-11T11:56:51.353000Z,2023-07-11T12:40:49.160000Z,2023-07-13T17:17:54.188000,2023-07-11T12:40:49.658816Z,2638,NOCODE,804,"English, Italian",51,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,United Kingdom,DATA_EXPIRED,English,DATA_EXPIRED,DATA_EXPIRED
64ad4201fc15191d9b0a010d,5f98644189208011eeb027b9,APPROVED,2023-07-11T11:50:34.465000Z,2023-07-11T12:22:04.028000Z,2023-07-13T17:17:54.308000,2023-07-11T12:22:04.583499Z,1890,NOCODE,710,English,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
64ad4206fdc2bcb71207fa4c,60d6608dbb8a3a34dfbf2728,APPROVED,2023-07-11T11:50:42.307000Z,2023-07-11T12:36:50.627000Z,2023-07-13T17:17:54.429000,2023-07-11T12:36:51.098790Z,2769,NOCODE,431,English,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64ad420e718b6dd8bfc1b503,5fb951898639c17a684074e1,APPROVED,2023-07-11T11:50:44.506000Z,2023-07-11T12:24:08.665000Z,2023-07-13T17:17:54.549000,2023-07-11T12:24:09.167919Z,2005,NOCODE,400,English,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
